codigo_unico,descripcion,nombre,categoria,marca,precio_compra,precio_venta,stock_actual
06.114.0021,SN,MORDAZA DE FRENO DELANTERO GRIS SKRS200SSTANDARDVERSION(2018) - MOXAL,REPUESTOS,MOXAL,11.5,16.1,1
06.114.0009,SN,MORDAZA DE FRENO DELANTERO GRIS TD250GY4Q(2012)-MOXAL,REPUESTOS,MOXAL,19.03,26.65,1
M00508,SN,MORDAZA DE FRENO DELANTERO SUKIDA SKR200 M1R200,REPUESTOS,MOTTOX,13.11,18.35,1
M03614,SN,MORDAZA DE FRENO POSTERIOR CHIEF II/FACTORY FR300/FR370 - MOTTOX,REPUESTOS,MOTTOX,32.32,45.25,0
06.114.0012,SN,MORDAZA DE FRENO POSTERIOR DORADA TUNDRA RAPTOR 250(12-14);TD250GY4Q(2012)- MOXAL,REPUESTOS,MOXAL,16.11,22.56,0
06.114.0029,SN,MORDAZA DE FRENO POSTERIOR DY200WOLF(2018) - MOXAL,REPUESTOS,MOXAL,17.06,23.9,0
06.114.0031,SN,MORDAZA DE FRENO POSTERIOR NEGRO SHI.XY200GY6(2011);SHI.XY250GY6I(20-21)-MOXAL,REPUESTOS,MOXAL,17.92,25.1,1
06.114.0037,SN,MORDAZA DE FRENO POSTERIOR XY200GY6E(2020)-MOXAL,REPUESTOS,MOXAL,17.13,24,1
06.115.0006,SN,MOTOR DE ARRANQUE 9 DIENTES GY6125;VIPER180(16-17)-MOXAL,REPUESTOS,MOXAL,14.28,20,1
190810005-0003,SN,PALANCA DE EMBRAGUE 6V TUKO CR5 200 - TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,2.49,3.5,2
8616,SN,PALANCA DE FRENO POSTERIOR WY KIT,REPUESTOS,NA,1.78,2.5,0
312160150-0001,SN,PAR ESTRIBO PILOTO GP300 (ORIGINAL) - PROINTER,REPUESTOS,PROINTER S.A LONCIN,87.99,123.2,0
10121,SN,PARCHES PARA PARCHAR,REPUESTOS,NA,2.49,4.5,8
694712505627,SN,PARTES MORDAZA POSTERIOR ZSGY125- MTG -D MOTO,REPUESTOS,D MOTO,2.49,3.5,1
19174.101-GEN,SN,PASADORES DE ESTRIBOS DELANTEROS BAJAJ PULSAR200NS(36JL0241)-MAGIATY,REPUESTOS,MAGIATY,0.71,2,3
06.121.0092,SN,PASTILLA DE FRENO ACERO ROJA ESPESOR DELGADO SKRS STANDARDVERSION(2023)-MOXAL,REPUESTOS,MOXAL,2.13,3,0
06.121.0024,SN,PASTILLA DE FRENO BAJ.PULSAR 200NS(14-17);BAJ.PULSAR135LS(13-17);YAM.FZ16(11-15)-ENDURECE-INDIA-MOXAL,REPUESTOS,MOXAL,4.03,5.65,6
06.121.0038,SN,PASTILLA DE FRENO BAJ.PULSAR200NS(14-19);BAJ PULSAR 135LS(13-17);YAM.FZ16(11-15)-ENDURECE-MOXAL,REPUESTOS,MOXAL,3.46,4.85,2
8260,SN,PASTILLA DE FRENO COBRE PULSAR 200NS POSTERIOR - DAVID Y EMILY,REPUESTOS,DAVID Y EMILY,2.35,3.3,0
06.121.0050,SN,PASTILLA DE FRENO COBRE/ACERO PLATA YAMAHA FZ25 - MOXAL,REPUESTOS,MOXAL,2.85,4,7
8263,SN,PASTILLA DE FRENO CON GANCHO,REPUESTOS,NA,1.98,2.8,0
8261,SN,PASTILLA DE FRENO CR125-SPLENDY DURO,REPUESTOS,SPLENDY - DURO,2.25,3.15,9
5004.,SN,PASTILLA DE FRENO DELANTERA CG 200 - BRASSSINTER,REPUESTOS,BRASSINTER,1.78,2.5,2
SDP0134,SN,PASTILLA DE FRENO DELANTERA DUKE 200 ;DOMINAR 400;KTM390 - DAVID Y EMILY,REPUESTOS,DAVID Y EMILY,3.07,4.3,2
P22080501,SN,PASTILLA DE FRENO DELANTERA ENDU 200 REDONDA - STANDARD,REPUESTOS,STANDARD,1.98,2.8,2
REDIS00067,SN,PASTILLA DE FRENO DELANTERA ENDURO REDONDO - REDIS,REPUESTOS,REDIS THE FUTURE IS NOW,1.61,2.25,1
M03210,SN,PASTILLA DE FRENO DELANTERA FX200(2018)/M1R - MOTTOX,REPUESTOS,VARROC,3.35,4.7,4
15105,SN,PASTILLA DE FRENO DELANTERA HONDA CB150/GIXXER150/GIXXER150F - MTG,REPUESTOS,MTG,2.46,3.45,0
291730150-0001,SN,PASTILLA DE FRENO DELANTERA TUKO CR5 - TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,3.42,4.8,2
PSTL005,SN,PASTILLA DE FRENO DELANTERO DOMINAR400;KTM 200/250/390 DUKE - MOTTOX,REPUESTOS,MOTTOX,2.86,4.01,0
MT007,SN,PASTILLA DE FRENO DELANTERO DR200/ATV200 - TRI UNION,REPUESTOS,NA,2.03,2.85,0
M00419,SN,PASTILLA DE FRENO DELANTERO GN125 - MOTTOX,REPUESTOS,MOTTOX,1.78,2.5,0
M00512,SN,PASTILLA DE FRENO DELANTERO HONDA CB150 INVICTA/SUZUKI GIXXER GSX150/HONDA CB110 TWISTER-MOTTOX,REPUESTOS,MOTTOX,2.32,3.25,6
P1B069,SN,PASTILLA DE FRENO DELANTERO HONDA CB600-CBR250ABS - OSAKA,REPUESTOS,ECOMOTOS,4.49,6.3,5
FS-1311,SN,PASTILLA DE FRENO DELANTERO PULSAR135-180-200-150NS-160NS - NDE,REPUESTOS,NA,2.35,3.3,6
291730146-0001,SN,PASTILLA DE FRENO DELANTERO TUKO Z - TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,4.53,6.35,6
06.121.0049,SN,PASTILLA DE FRENO FIBRA ACERO ROJA SHI.XY12530A(16-20);TUK.Z200(2024) - MOXAL,REPUESTOS,MOXAL,2.25,3.15,5
06.121.0014,SN,PASTILLA DE FRENO FIBRA ACERO ROJA SKRS200STANDARDVERSION(2018);RANGER200GY8(10-19);SHI.XY200GY6I(12-19)-MOXAL,REPUESTOS,MOXAL,2.13,3,2
06.121.0031,SN,PASTILLA DE FRENO FIBRA ACERO ROJO DY250 TEKKEN (2015)/RANGER250CFZ/DY WOLF 200 - MOXAL,REPUESTOS,MOXAL,2.17,3.05,0
06.121.0002,SN,PASTILLA DE FRENO FIBRA ACERO ROJO GN125(2012)-MOXAL,REPUESTOS,MOXAL,2.13,2.99,0
06.121.0010,SN,PASTILLA DE FRENO FIBRA ACERO ROJO XY2004(2006);PANDILLERA- MOXAL,REPUESTOS,MOXAL,2.32,3.25,5
06.121.0006,SN,PASTILLA DE FRENO FIBRA COBRE ACERO ROJO TS125(2002)/SHI.XY250GY6/SHI.CHIEF II (20-21)-MOXAL,REPUESTOS,MOXAL,1.96,2.75,1
06.121.0064,SN,PASTILLA DE FRENO FIBRA COBRE ROJO JEDI(2021)-MOXAL,REPUESTOS,MOXAL,2.49,3.5,3
06.121.0085,SN,PASTILLA DE FRENO FIBRA COBRE/ACERO PLATA DY150EAGLE III (2023) ELANTERA- MOXAL,REPUESTOS,MOXAL,2.74,3.85,6
06.121.0028,SN,PASTILLA DE FRENO FIBRA COBRE/ACERO PLATA DY250 TEKKEN (2015)/DY200WOLF-MOXAL,REPUESTOS,MOXAL,2.87,4.03,0
06.121.0063,SN,PASTILLA DE FRENO FIBRA COBRE/ACERO PLATA IGMWIND200(2018) - MOXAL,REPUESTOS,MOXAL,2.78,3.9,5
06.121.0067,SN,PASTILLA DE FRENO FIBRA COBRE/ACERO PLATA TNT150(2021) DELANTERA - MOXAL,REPUESTOS,MOXAL,2.74,3.85,4
06.121.0053.,SN,PASTILLA DE FRENO FIBRA COBRE/PLATA XY2505A(2011)/SHI.CHIEF II/FAC370 - MOXAL,REPUESTOS,MOXAL,2.87,4,3
06.121.0008,SN,PASTILLA DE FRENO FIBRA DE ACERO ROJA - ATV150CC (2006) - MOXAL,REPUESTOS,MOXAL,2.07,2.9,4
06.121.0005,SN,PASTILLA DE FRENO FIBRA DE ACERO ROJA GY200 - MOXAL,REPUESTOS,MOXAL,2.25,3.15,2
06.121.0003,SN,PASTILLA DE FRENO FIBRA DE COB/ACE PLATA SKRS200SSTANDARDVERSION(2018);ICS 150S(14-19)-MOXAL,REPUESTOS,MOXAL,2.54,3.56,0
06.121.0044,SN,PASTILLA DE FRENO FIBRA DE COBRE / ACERO PLATA FX250E (2016) - MOXAL,REPUESTOS,MOXAL,2.74,3.85,1
06.121.0033,SN,PASTILLA DE FRENO FIBRA DE COBRE ACERO PLATA DY250TEKKEN(2015)/DY250SCRAMBER - MOXAL,REPUESTOS,MOXAL,2.03,2.85,1
06.121.0012,SN,PASTILLA DE FRENO FIBRA DE COBRE/ACERO PLATA GY200 - MOXAL,REPUESTOS,MOXAL,2.74,3.85,0
06.121.0027,SN,PASTILLA DE FRENO FIBRA DE COBRE/ACERO PLATA PULSAR200NS(13-17)-MOXAL,REPUESTOS,MOXAL,2.71,3.8,0
06.121.0032,SN,PASTILLA DE FRENO FIBRA/COBRE ROJO AXX TRACKER250/DY250SCRAMBER/DY 250TEKKEN - MOXAL,REPUESTOS,MOXAL,2.07,2.9,5
291710085-0001,SN,PASTILLA DE FRENO FRONTAL TUKO CR5 ORIGINAL - SGC/LONCIN,REPUESTOS,SGC/LONCIN MADIFRA,5.71,6.35,6
SUN-035,SN,PASTILLA DE FRENO GN125 -REDIS-CAYAMBE MOTOS,REPUESTOS,CAYAMBE MOTOS IMPORTACIONES Y DISTRIBUCIONES,1.78,2.5,1
7450076091069,SN,PASTILLA DE FRENO HONDA CLICK,REPUESTOS,NA,3,4.2,6
