codigo_unico,descripcion,nombre,categoria,marca,precio_compra,precio_venta,stock_actual
18110.107-EVE,SN,GUIA DIRECCIONAL DELANTERA TRANSPARENTES PULSAR 200NS - MAGIATY,ACCESORIOS,MAGIATY,3.93,5.5,0
06.080.0067,SN,GUIA DIRECCIONAL DELANTERO DERECHA FX200 ; STIFF 150 ; ICS - MOXAL,ACCESORIOS,MOXAL,4.71,6.6,0
06.080.0091,SN,GUIA DIRECCIONAL DELANTERO I/D BAJ. P200NS-VARRROC - MOXAL,ACCESORIOS,MOXAL,5.2,7.75,1
06.080.0018,SN,GUIA DIRECCIONAL DELANTERO I/D BROSS200 ; HONDA XR250TORNADO(10-18) -MOXAL,ACCESORIOS,MOXAL,4.02,5.65,3
06.080.0041,SN,GUIA DIRECCIONAL DELANTERO I/D LED XY200GY6(2011) - MOXAL,ACCESORIOS,MOXAL,5.34,7.5,0
06.080.0109,SN,GUIA DIRECCIONAL DELANTERO I/D XY15015 GN STARK (2020) - MOXAL,ACCESORIOS,MOXAL,4.02,5.64,2
06.080.0006,SN,GUIA DIRECCIONAL DELANTERO I/D XY2004 (2006) / SHI. PANDLLERA - MOXAL,ACCESORIOS,MOXAL,4.61,6.45,2
06.080.0114,SN,GUIA DIRECCIONAL DELANTERO Y POST I/D GN125H (2018)- MOXAL,ACCESORIOS,MOXAL,6.71,9.4,2
GDD00089,SN,GUIA DIRECCIONAL DER/IZQ DAYTONA DY200 WOLF - RCP,ACCESORIOS,NA,6.78,9.5,0
280780569-0001,SN,GUIA DIRECCIONAL DERECHA DEL TANQUE TK CR3 - TUKO,ACCESORIOS,MOTO INDUSTRIA S.A TUKO,12.53,17.55,1
06.080.0093,SN,GUIA DIRECCIONAL I/D 150S (2024) - CR1 -MOXAL,ACCESORIOS,MOXAL,4.63,6.5,0
06.080.0008,SN,GUIA DIRECCIONAL I/D CROMADA GN125 (2012) - CR1 - MOXAL,ACCESORIOS,MOXAL,4.34,6.09,0
070280051-KA066,SN,GUIA DIRECCIONAL I/D CROSSFIRE - DK PARTS,ACCESORIOS,DK PARTS,8.63,12.1,4
06.080.0069,SN,GUIA DIRECCIONAL I/D FX200 / AX150 - CR1 - MOXAL,ACCESORIOS,MOXAL,4.49,6.3,1
06.080.0033,SN,GUIA DIRECCIONAL I/D PULSAR 135LS (2018) - CR1 -MOXAL,ACCESORIOS,MOXAL,5,7,0
06.080.0036,SN,GUIA DIRECCIONAL I/D PULSAR 200NS (2014) - CR1-MOXAL,ACCESORIOS,MOXAL,3.57,5.01,2
06.080.0034,SN,GUIA DIRECCIONAL I/D SUK. SKR250S(10-15) - CR1 - MOXAL,ACCESORIOS,MOXAL,3.78,5.3,3
06.080.0013,SN,GUIA DIRECCIONAL I/D TS185(2003) - MOXAL,ACCESORIOS,MOXAL,4.43,6.25,1
M03570,SN,GUIA DIRECCIONAL LED -ESTANDAR-MOTTOX,ACCESORIOS,VARROC,8.39,11.75,1
GUIA011,SN,GUIA DIRECCIONAL LED DAYTONA DY250 CROSSFIRE - MOTTOX,ACCESORIOS,VARROC,14.7,20.6,1
8391,SN,GUIA DIRECCIONAL LED DAYTONA WOLF 200/CB190- H Y H,ACCESORIOS,H Y H,8.02,11.25,2
06.080.0101DY,SN,GUIA DIRECCIONAL LED DY200 WOLF(2018) - MOXAL,ACCESORIOS,MOXAL,8.02,11.25,0
P11115,SN,GUIA DIRECCIONAL LED LUNA TRANSPARENTE TUKO CR5 - MOTTOX,ACCESORIOS,MOTTOX,6.22,8.7,0
M03372,SN,GUIA DIRECCIONAL LED MTX-080 LUZ AMARILLA - MOTTOX,ACCESORIOS,VARROC,8.39,11.75,1
ST-026NJ,SN,GUIA DIRECCIONAL LED NARANJA P-25Y - FERRIIMPORTACIONES,ACCESORIOS,FERRIMPORTACIONES,3.57,5,9
M00993,SN,GUIA DIRECCIONAL LUNA TOMATE FX200 - MOTTOX,ACCESORIOS,VARROC,5.35,7.5,2
M00717,SN,GUIA DIRECCIONAL LUNA TOMATE HONDA STORM 125 - MOTTOX,ACCESORIOS,VARROC,5.38,7.55,0
P10582,SN,GUIA DIRECCIONAL LUNA TOMATE SUZUKI AX100 - MOTTOX,ACCESORIOS,VARROC,3.63,5.1,0
M01506,SN,GUIA DIRECCIONAL LUNA TOMATE SUZUKI AX4 - MOTTOX,ACCESORIOS,VARROC,4.61,6.46,0
M01502,SN,GUIA DIRECCIONAL LUNA TRANSPARENTE PULSAR 180 - MOTTOX,ACCESORIOS,VARROC,5.42,7.6,1
434299,SN,GUIA DIRECCIONAL NARANJA DEPORTIVO P-29- STALLION-FERRIMPORTACIONES,ACCESORIOS,FERRIMPORTACIONES,2.49,3.5,1
323032,SN,GUIA DIRECCIONAL NARANJA LED P-01S SECUENCIAL 3 CABLES STALLION -FERRIMPORTACIONES,ACCESORIOS,FERRIMPORTACIONES,4.28,6.01,9
302693,SN,GUIA DIRECCIONAL NARANJA LED P-25B - FERRIMPORTACIONES,ACCESORIOS,FERRIMPORTACIONES,3.22,5.5,10
300026,SN,GUIA DIRECCIONAL NARANJA/BICOLOR LED P-30 STALLION-FERRIMPORTACIONES,ACCESORIOS,FERRIMPORTACIONES,3.28,4.6,6
06.080.0055,SN,GUIA DIRECCIONAL POST I/D TUN. RAPTOR250 (11-18) - MOXAL,ACCESORIOS,MOXAL,5.35,7.5,4
070280029-KA057-23,SN,GUIA DIRECCIONAL POSTERIOR LONCIN PRO 5 I/D - DK PARTS,ACCESORIOS,DK PARTS,10.64,14.9,0
P10495,SN,GUIA DIRECCIONAL REDONDA LUNA TRANSPARENTE GN125 - MOTTOX,ACCESORIOS,VARROC,4.49,6.3,1
P10846,SN,GUIA DIRECCIONAL SUZUKI GIXXER GSX150L TRANSPARENTE - MOTTOX,ACCESORIOS,MOTTOX,5.75,8.05,0
9219,SN,GUIA DIRECCIONAL TUKO CR5;LONCIN CR5;KTM - BRASSINTER,ACCESORIOS,BRASSINTER,5,7,3
06.080.0115GP200,SN,GUIA DIRECCONAL DELANTERO I/D LED XY20018(2020) -MOXAL,ACCESORIOS,MOXAL,6.15,8.61,0
8443,SN,GUIA DIRECIONAL GIA-23-AMARILLO+ROJO-BRASSINTER,ACCESORIOS,BRASSINTER,3.57,5,1
06.080.0053,SN,GUIA DIRECIONAL I/D GD-12 ; SHI. XY150(10-11)-MOXAL,ACCESORIOS,MOXAL,3.63,5.1,0
P10477,SN,GUIA DIRECIONAL SET LUNA TOMATEDAYTONA DY200GY - MOTTOX,ACCESORIOS,VARROC,7.6,10.65,0
280760580-0001,SN,GUIA IZQUIERDA DIRECCIONAL DEL TANQUE TUKO CR3-TUKO,ACCESORIOS,MOTO INDUSTRIA S.A TUKO,12.53,17.55,1
P11195,SN,GUIA STOP LED SHINERAY GP200 SPORT/DAYTONA WING EVO II/AXXO F51-MOTTOX,ACCESORIOS,MOTTOX,14.97,20.95,1
27001,SN,INDICADOR DE MARCHAS R2 4V (ORIGINAL) - PROINTER,ACCESORIOS,PROINTER S.A LONCIN,16.11,22.55,0
06.084.0003,SN,INSTALACION ELECTRICA MATRIZ CDI CUADRADO-FX200,REPUESTOS,MOXAL,15,21.01,0
271390427-0001,SN,JUEGO DE MANDOS IZQ LX250-15 - LONCIN,REPUESTOS,CAYAMBE MOTOS IMPORTACIONES Y DISTRIBUCIONES,18.57,26,1
500320758-0002,SN,JUEGO DE SWICHT Z200 (ORIGINAL)-TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,21.43,30.01,2
500320987-0001,SN,JUEGO DE SWITCH TK GT CR5/LONCIN PRO 5 ORIGINAL - TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,40.25,56.35,0
06.097.0018,SN,KIT DE MANDO DE ENCENDIDO 7 PIN Y LUCES 11 PIN-WOLF,REPUESTOS,MOXAL,15.03,21.05,2
KDS00020,SN,KIT DE SWITCH ENCENDIDO BAJAJ PULSAR 200NS -ORIGINAL-IDIRSA,REPUESTOS,IDIRSA,21.42,29.99,1
KDS00021,SN,KIT DE SWITCH ENCENDIDO/TAPA DE GASOLINA DY200WOLF-RCP-IDIRSA,REPUESTOS,IDIRSA,25,35,0
270010045-0011,SN,KIT GENERADOR DE CORRIENTE Z200 (ORIGINAL) - TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,23.39,32.75,1
06.097.0026,SN,KIT MANDO DE ENCENDIDO Y LUCES-TKCR5250 2012,REPUESTOS,MOXAL,8.97,12.55,0
R250-II0511,SN,KIT SWICH CHIEF II - SHINERAY,REPUESTOS,SHINERAY,22.71,31.8,0
10018,SN,LLANTA 130/80-17TL BL-627 - MTG-D MOTO,LLANTAS Y TUBOS ,D MOTO,37.85,53,0
10444,SN,LUCES KP54 (CASCO) - ZHEG TUAN,ACCESORIOS,ZHENG TUAN,8.93,12.51,2
10016,SN,LUZ DE PLACA COLORES-NA,ACCESORIOS,NA,2.46,2.8,10
60033,SN,LUZ LED CALABERA BARRA - BRASSINTER,ACCESORIOS,BRASSINTER,10.92,15.3,1
8316,SN,LUZ LED CAPSULA MORADO - AMD,ACCESORIOS,AMD,0.52,0.75,0
M02386,SN,LUZ LED RCB 12V DC 3W AZUL LUZ DE PISO AZUL - MOTTOX,ACCESORIOS,VARROC,13.28,18.6,0
10015,SN,LUZ PLACA FLAH S051 BLANCO - BRASSINTER,ACCESORIOS,BRASSINTER,2.46,3.45,2
10014,SN,LUZ PLACA FLASH AMARILLO S051 - BRASSINTER,ACCESORIOS,BRASSINTER,2.46,3.45,3
10013,SN,LUZ PLACA FLASH S051 VERDE - BRASSINTER,ACCESORIOS,BRASSINTER,2.46,3.45,3
ADO287,SN,MANDO CONTROL DERECHO RH GN125 - MOTO TEK,REPUESTOS,MOTO TEK / MUONER,6.99,9.8,2
06.108.0029,SN,MANDO DE CONTROL DERECHO BAJAJ PULSAR 220S(2011);P180(11-20) - MOXAL,REPUESTOS,MOXAL,21.65,30.32,1
06.097.0025,SN,MANDO DE ENCENDIDO 250GY50(16-21) - MOXAL,REPUESTOS,MOXAL,3.47,4.86,2
06.108.0051,SN,MANDO DE ENCENDIDO DERECHO 7PIN IGM WIND 200(2021) - MOXAL,REPUESTOS,MOXAL,6.06,8.5,1
06.097.0013,SN,MANDO DE ENCENDIDO SKR200S (2017) - MOXAL,REPUESTOS,MOXAL,3.57,5.01,4
06.108.0052,SN,MANDO DE ENCENDIDO TUKO CR5 250 (2021) - MOXAL,REPUESTOS,MOXAL,4.03,5.65,0
06.108.0043.,SN,MANDO DE ENCENDIDO Y LUCES XY20018(2020);SHI.GP200(2020)-MOXAL,REPUESTOS,MOXAL,8.07,11.3,2
06.108.0004,SN,MANDO DE LUCES (MANIGUETA) GN125(2012);SHI.XY15015(11-20) - MOXAL,REPUESTOS,MOXAL,7.92,11.09,2
06.108.0049,SN,MANDO DE LUCES IZQUIERDO DY250 SCORPION(2020) - MOXAL,REPUESTOS,MOXAL,5.17,8.5,1
06.097.0017,SN,MANDO DE LUCES IZQUIERDO FX250AK47(2017) - MOXAL,REPUESTOS,MOXAL,5.75,8.05,1
06.108.0021,SN,MANDO DE LUCES RX250(2013);RANGER200GY8(10-19);SHI.XY200GY8-MOXAL,REPUESTOS,MOXAL,5.42,8,3
06.108.0030,SN,MANDO DERECHO CONTROL DE LUCES AX4(2015);SUZ GD110(11-16) - MOXAL,REPUESTOS,MOXAL,6.07,8.5,2
780001268028,SN,MANDO ELECTRICO AX100 - MOTOR 1,REPUESTOS,MOTOR 1,6.78,9.5,2
48722,SN,MANDO ELECTRICO DERECHO GN125 - XTREME,REPUESTOS,EXTREME,5.34,7.5,3
7887881272640,SN,MANDO ELECTRICO IZQ. HONDA BROSS - MOTOR 1,REPUESTOS,MOTOR 1,6.07,8.5,0
0203230066L,SN,MANDO ELECTRICO LH NAZCA 200/250 - MOTOR 1,REPUESTOS,MOTOR 1,5,7,10
ADO286,SN,MANDO IZQ CON MANIGUETA GN125 - MOTO TEK,REPUESTOS,MOTO TEK / MUONER,6.71,9.4,2
CEL00019,SN,MANDOS DE LUZ Y ENCENDIDO SUZUKI EN 125 - IDIRSA,REPUESTOS,IDIRSA,16.11,22.55,0
JL402004,SN,MODULO CONTROL DE LUCES PULSAR135;PULSAR125NS ORIGINAL - INDIAN MOTOS,REPUESTOS,MOHAKA,13.11,18.35,1
06.076.0013,SN,MODULO CONTROL DE LUZ PULSAR 160NS - VARROC - MOXAL,REPUESTOS,MOXAL,4.49,6.3,1
M02009,SN,PIPETA DE BUJIA BAJAJ PULSAR 200NS (LATERAL) - MOTTOX,REPUESTOS,MOTTOX,1.78,2.5,4
RE10066,SN,PORTA FUSIBLE CILINDRICO - EXTREME MAX,REPUESTOS,EXTREME,0.89,1.25,8
50018-N,SN,PORTA FUSIBLE SOCKET TIPO R - DK PARTS,REPUESTOS,DK PARTS,1.78,2.5,5
0601152300,SN,PROYECTOR LED - MOTOR 1,REPUESTOS,MOTOR 1,2.49,3.5,1
06.150.0024,SN,RECTIFICADOR 5P GD115HU(2015)- MOXAL,REPUESTOS,MOXAL,7.28,10.2,2
JL402001,SN,RECTIFICADOR DE CORRIENTE (2F) PULSAR200NS (ORIGINAL) - INDIAN MOTOS,REPUESTOS,INDIAN MOTOS INMOT S.A BAJAJ,40.25,56.35,1
M00347,SN,RECTIFICADOR DE CORRIENTE 12V AC/DC 4PIN DIRECTO CABALLITO SHINERAY XY125-VB - MOTTOX,REPUESTOS,MOTTOX,5.17,7.25,1
06.150.0019,SN,RECTIFICADOR DE CORRIENTE 4P SOCKET MACHO/SIN CONDENSADOR M1R200R(2012) - MOXAL,REPUESTOS,MOXAL,4.64,6.5,3
06.150.0002,SN,RECTIFICADOR DE CORRIENTE 4PIN (CAB/CON) GY200 - MOXAL,REPUESTOS,MOXAL,4.28,6.01,1
43266,SN,RECTIFICADOR DE CORRIENTE 5P BROSS 200,REPUESTOS,EXTREME,5.17,7.25,6
06.150.0047,SN,RECTIFICADOR DE CORRIENTE 5P(CABLE) - LX25015(2019)-MOXAL,REPUESTOS,MOXAL,7.49,11.5,1
06.150.0033,SN,RECTIFICADOR DE CORRIENTE 5PIN (CAB) GN125(2001) - MOXAL,REPUESTOS,MOXAL,7.85,11,4
06.150.0023.,SN,RECTIFICADOR DE CORRIENTE 5PIN (CAB)ICS.150S(14-23)- MOXAL,REPUESTOS,MOXAL,6.14,8.6,1
06.150.0012.,SN,RECTIFICADOR DE CORRIENTE 5PIN(CAB) SKR200FX200(2012) ; STIFF150(11-17)- MOXAL,REPUESTOS,MOXAL,3.96,7.08,0
06.150.0006,SN,RECTIFICADOR DE CORRIENTE 5PIN(CAB)LIHUA ENDURO200 (2007);GY200;ICS150S(14-19) - MOXAL,REPUESTOS,MOXAL,5,7,0
06.150.0042.,SN,RECTIFICADOR DE CORRIENTE 6PIN CHIEF II (2021) - MOXAL,REPUESTOS,MOXAL,6.78,10.5,1
06.150.0027.,SN,RECTIFICADOR DE CORRIENTE 6PIN DY250 TEKKEN (2015);TRACKER250(2017) - MOXAL,REPUESTOS,MOXAL,6.25,10.2,1
06.150.0049,SN,RECTIFICADOR DE CORRIENTE AC-DC 5 PINES CABLE GN 125 2015,REPUESTOS,MOXAL,6.86,9.61,2
06.150.0015,SN,RECTIFICADOR DE CORRIENTE AC/DC 5PINES(CAB/CON)CG125;GY200(2011)-MOXAL,REPUESTOS,MOXAL,5.17,7.25,2
REC332,SN,RECTIFICADOR DE CORRIENTE BAJAJ PULSAR 180UG4/150/220S - VARROC - IDIRSA,REPUESTOS,VARROC,10.43,14.6,2
06.150.0021,SN,RECTIFICADOR DE CORRIENTE BAJAJ PULSAR135LS(13-17) - VARROC,REPUESTOS,VARROC,10.92,15.3,2
10002,SN,RECTIFICADOR DE CORRIENTE FACTORY370 (2023) - FACTORY,REPUESTOS,FACTORY,25,35,1
06.150.0032,SN,RECTIFICADOR DE CORRIENTE FX250AK47(2017) - MOXAL,REPUESTOS,MOXAL,6.07,8.5,3
06.150.0011,SN,RECTIFICADOR DE CORRIENTE GN125(2012) - MOXAL,REPUESTOS,MOXAL,7.79,10.92,3
270880200-0001,SN,RECTIFICADOR DE CORRIENTE GP300 (ORIGINAL) - PROINTER,REPUESTOS,PROINTER S.A LONCIN,35.96,50.35,1
M01113,SN,RECTIFICADOR DE CORRIENTE LIHUA 12V DC 5 CABLES SOCKET HEMBRA CG125/CG200 - MOTTOX,REPUESTOS,MOTTOX,5.56,7.8,1
M00346,SN,RECTIFICADOR DE CORRIENTE LIHUA 12V DC DIRECTO SUZUKI AX100 - MOTTOX,REPUESTOS,MOTTOX,3.42,4.8,2
8797,SN,RECTIFICADOR DE CORRIENTE LIHUA 4 CABLES CG200 - MUONER,REPUESTOS,CADAR,4.14,5.8,9
270880320-0001,SN,RECTIFICADOR DE CORRIENTE LX300 GY - LONCIN TUKO (ORIGINAL) - TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,32.85,46,2
8712,SN,RECTIFICADOR DE CORRIENTE PULSAR 200NS,REPUESTOS,NA,9.43,13.2,5
8400,SN,RECTIFICADOR DE CORRIENTE PULSAR 200NS - VARROC,REPUESTOS,NA,20.67,28.95,1
0203250004,SN,REGULADOR DE CORRIENTE 4 CABLES SOCKET HEMBRA - MOTOR1,REPUESTOS,MOXAL,4.1,5.75,6
06.150.0034.,SN,REGULADOR DE CORRIENTE AC-DC 5 PINES CABLE-WOLF,REPUESTOS,MOXAL,7.49,10.5,1
28544,SN,RELAY AUTOMATICO DE ARRANQUE XY125 30A,REPUESTOS,ITAKA PARTS,3.2,4.5,3
8377,SN,RELAY AUTOMATICO ICS150 - ITAKA PARTS,REPUESTOS,ITAKA PARTS,3.57,5.01,2
8378,SN,RELAY AUTOMATICO PULSAR 135-160NS-200NS - ITAKA PARTS,REPUESTOS,ITAKA PARTS,3.57,5.01,1
0203260000,SN,RELAY DE ARRANQUE ESTANDAR - MOTOR 1,REPUESTOS,MOTOR 1,2.67,3.75,6
REDIS00035,SN,RELAY DE ARRANQUE ESTANDAR - REDIS,REPUESTOS,REDIS THE FUTURE IS NOW,4.5,6.3,2
JL403000,SN,RELAY DE ENCLAVAMIENTO PULSAR200NS Y FI / DOMINAR400 UG ORIGINAL- INDIAN MOTOS,REPUESTOS,INDIAN MOTOS INMOT S.A BAJAJ,4.85,8.75,2
DT402404,SN,SENSOR DE FRENO ABS Y VELOCIMETRO P200RS - INDIAN MOTOS,REPUESTOS,INDIAN MOTOS INMOT S.A BAJAJ,39.28,55,0
JF401405,SN,SENSOR DE PATA DE APOYO LATERAL P160NS-D400,REPUESTOS,INDIAN MOTOS INMOT S.A BAJAJ,8.05,11.27,0
DT351803,SN,SENSOR DE POSICION DEL ACELERADOR TPS DOMINAR400 (ORIGINAL) - INDIAN MOTOS,REPUESTOS,INDIAN MOTOS INMOT S.A BAJAJ,16.42,22.99,1
M-SET003,SN,SENSOR DE TEMPERATURA PULSAR 200NS AGUA AZ ORIGINAL (SEN00002 IDIRSA) - RECALDE,REPUESTOS,RECALDE,7.78,10.9,0
JC151019,SN,SENSOR DE VELOCIMETRO BAJAJ PULSAR 200NS/AS ;PULÑSAR 180-BSIV (ORIGINAL)-INDIAN MOTOS,REPUESTOS,INDIAN MOTOS INMOT S.A BAJAJ,12.53,23.18,1
DH201079,SN,SENSOR DE VELOCIMETRO PULSAR 150NS Y AS PULSAR 125NS / PULSAR160 ORIGINAL - INDIAN MOTOS,REPUESTOS,INDIAN MOTOS INMOT S.A BAJAJ,12.21,17.1,1
FE250-010,SN,SENSOR INDICADOR CAMBIOS FE250/300 4V TEKKEN EVO/GPAR/XPOWER/ARTIC/GP1/FEROCE/TUKOZ250/CR5 TG/IGM VENTURE/DK NATIVA/CHIEF 2.5 250/SCRAMBLER MAX 300CC(ORIGINAL)-DAYTONA,REPUESTOS,TODO MOTO,14.65,20.51,1
M03027,SN,SET DE SWICTH YAMAHA FZ16 150CC - MOTTOX,REPUESTOS,MOTTOX,16.42,23,0
SETS007,SN,SET DE SWITCH DAYTONA DY250 GP-1 - MOTTOX,REPUESTOS,MOTTOX,23,32.2,1
SETS006,SN,SET DE SWITCH LONCIN RALLY 300 - MOTTOX,REPUESTOS,MOTTOX,21.42,30,0
500320822-0001,SN,SET DE SWITCH LX250-12A ORIGINAL - SGC/LONCIN,REPUESTOS,SGC/LONCIN MADIFRA,36.14,50.6,1
SKT00001,SN,SOCKET CUADRADO CDI 6 PINES - STANDARD-IDIRSA,REPUESTOS,IDIRSA,0.71,1.25,5
06.163.0013,SN,SOCKET DE INDICADOR DE CAMBIO 7PIN LON.RALLY 300(20-24)-MOXAL,REPUESTOS,MOXAL,8.39,11.75,1
06.163.0002,SN,SOCKET INDICADOR DE CAMBIO CG125 - MOXAL,REPUESTOS,MOXAL,1.78,2.5,2
M00085,SN,SOCKET INDICADOR DE CAMBIOS 1H 6P SHINERAY XY200GY/SHINERAY XY150 UTILITARIA/RANGER 250GY-500-MOTTOX,REPUESTOS,MOTTOX,1.78,2.5,4
SKT00002,SN,SOCKET OVALADO CDI 6PINES/GL145(2PCS/SET)-STANDARD-IDIRSA,REPUESTOS,IDIRSA,1.42,2,10
070950012,SN,SOCKET TIPO L - DK PARTS,REPUESTOS,DK PARTS,1.32,1.85,5
M02425,SN,SWICTH DE ENCENDIDO 2PIN SOCKET HEMBRA SUZUKI GIXXER GSX150-MOTTOX,REPUESTOS,VARROC,8.07,11.3,1
06.101.0006,SN,SWITCH 4P TAPA DE TANQUE XY15010F(2020) - MOXAL,REPUESTOS,MOXAL,10.64,14.91,2
2318VZ,SN,SWITCH COMPLETO PULSAR 160NSSET 3PCS-DAVID Y EMILY,REPUESTOS,DAVID Y EMILY,36.43,51,1
2306Z,SN,SWITCH COMPLETO PULSAR 200NS 3PCS - DAVID Y EMILY,REPUESTOS,DAVID Y EMILY,35.92,50.3,1
06.166.0017,SN,SWITCH DE ENCENDIDO (SOCKET MACHO 3 CABLES) AX4(2015);SUZ.GD110(11-16) - MOXAL,REPUESTOS,MOXAL,8.39,11.75,3
M01581,SN,SWITCH DE ENCENDIDO 11CABLES AX100 - MOTTOX,REPUESTOS,MOTTOX,3.28,4.6,3
M01333,SN,SWITCH DE ENCENDIDO 2 CABLES HONDA STORM 125 - MOTTOX,REPUESTOS,MOTTOX,5.45,7.65,2
M01558,SN,SWITCH DE ENCENDIDO 2 PIN SOCKET MACHO SHINERAY XY250GY-6A-MOTTOX,REPUESTOS,VARROC,6.42,9,1
M01332,SN,SWITCH DE ENCENDIDO 2PIN SOCKET HEMBRA HONDA CB110 - MOTTOX,REPUESTOS,MOTTOX,7.85,11,1
M02612,SN,SWITCH DE ENCENDIDO 3PIN YB125 - MOTOX,REPUESTOS,MOTTOX,4.28,6,3
M01008,SN,SWITCH DE ENCENDIDO 4 PIN RAPTOR 250 - MOTTOX,REPUESTOS,MOTTOX,7.49,10.5,5
M03230,SN,SWITCH DE ENCENDIDO 4 PIN SOCKET HEMBRA DAYTONA DY200WOLF/RANGER SPORT CFZ250-MOTTOX,REPUESTOS,VARROC,7.36,10.3,0
M02815,SN,SWITCH DE ENCENDIDO 4 PIN SOCKET HEMBRA SHINERAY XY150-23/XY200-23 FAST-MOTTOX,REPUESTOS,VARROC,8.75,12.25,0
SWTC003,SN,SWITCH DE ENCENDIDO 4 PIN SOCKET HEMBRA TUKO CR5-250-MOTTOX,REPUESTOS,VARROC,4.03,5.65,0
M03695,SN,SWITCH DE ENCENDIDO 4 PINS SOCKET HEMBRA INC.TAPA DE BLOQUEO MOTONETA RANGER BWSM 150 - MOTTOX,REPUESTOS,MOTTOX,10.14,14.2,3
06.166.0031,SN,SWITCH DE ENCENDIDO 4P DY2000WOLF(2018) - MOXAL,REPUESTOS,MOXAL,6.39,8.95,3
06.166.0003,SN,SWITCH DE ENCENDIDO 4P MOT.NR200 - MOXAL,REPUESTOS,MOXAL,5.46,9,0
06.166.0001,SN,SWITCH DE ENCENDIDO 4PIN JL1108(2004)(CABALLITO) - MOXAL,REPUESTOS,MOXAL,6.07,8.5,0
M03329,SN,SWITCH DE ENCENDIDO 4PIN SOCKET HEMBRA BAJAJ BOXER BM150;PULSAR 180;DISCOVER 125ST - MOTTOX,REPUESTOS,MOTTOX,6.71,9.4,2
M02072,SN,SWITCH DE ENCENDIDO 4PIN SOCKET HEMBRA ICS150S - MOTTOX,REPUESTOS,MOTTOX,4.71,6.6,3
M02970,SN,SWITCH DE ENCENDIDO 4PIN SOCKET HEMBRA INC TAPA DE BLOQUEO Z1 BROTHER 250R - MOTTOX,REPUESTOS,MOTTOX,14.5,20.3,1
M01692,SN,SWITCH DE ENCENDIDO 4PIN SOCKET HEMBRA SHINERAY CHIEF XY250-5A - MOTTOX,REPUESTOS,MOTTOX,5.75,8.05,2
M03201,SN,SWITCH DE ENCENDIDO 4PIN SOCKET MACHO DAYTONA DY200;DUKARE 200 - MOTTOX,REPUESTOS,MOTTOX,4.89,6.85,2
M00884,SN,SWITCH DE ENCENDIDO 4PIN SOCKET MACHO INC.TAPA DE BLOQUEO XY150-8B - MOTTOX,REPUESTOS,MOTTOX,10,14.01,1
M00897,SN,SWITCH DE ENCENDIDO 4PIN SOCKET MACHO SUKIDA STIFF 150;QINGQI;QM200GY;SHINERAY XY150-10D - MOTTOX,REPUESTOS,MOTTOX,2.86,4.01,2
070720010-KA060,SN,SWITCH DE ENCENDIDO 4PIN STIFF150 - DK PARTS,REPUESTOS,DK PARTS,3.42,4.8,2
M00132,SN,SWITCH DE ENCENDIDO 4PINS SKR200;M1R FX200 - MOTTOX,REPUESTOS,MOTTOX,5.46,7.65,0
M11852,SN,SWITCH DE ENCENDIDO 5 CABLES MACHO XY150 6 PANDILLERA - MOTTOX,REPUESTOS,MOTTOX,6.78,9.5,8
48555,SN,SWITCH DE ENCENDIDO 6 CABLES EN125 - XTR,REPUESTOS,EXTREME,3.2,4.5,1
M02198,SN,SWITCH DE ENCENDIDO 6PIN SOCKET MACHO M1R FX200 (2014);SHINERAY XY150-15 GN STARK - MOTTOX,REPUESTOS,MOTTOX,6.06,8.5,7
M01472,SN,SWITCH DE ENCENDIDO 6PIN SOCKET MACHO M1R FX200 (2017);SHINERAY GP200(2020) - MOTTOX,REPUESTOS,MOTTOX,7.42,10.4,3
SWTC004,SN,SWITCH DE ENCENDIDO 6PIN SOCKET MACHO SHINERAY GP200 SPORT - MOTTOX,REPUESTOS,MOTTOX,6.88,9.65,2
06.101.0005,SN,SWITCH DE ENCENDIDO 6PIN XY15015(2020) - MOXAL,REPUESTOS,MOXAL,8.39,11.75,2
0360100-0014,SN,SWITCH DE ENCENDIDO ATV ROCKET - MUONER,REPUESTOS,CADAR,3.32,4.65,6
691,SN,SWITCH DE ENCENDIDO CG-125 (CUADRON) - ITAKA,REPUESTOS,COLMOTOS,2.64,3.7,1
M01751,SN,SWITCH DE ENCENDIDO DOS CABLES HONDA TORNADO XR250 - MOTTOX,REPUESTOS,MOTTOX,5.93,8.3,2
EC190730,SN,SWITCH DE ENCENDIDO EN,REPUESTOS,NA,5.93,8.3,2
M01463,SN,SWITCH DE ENCENDIDO GN125 - MOTTOX,REPUESTOS,MOTTOX,3.57,5,3
06.166.0014,SN,SWITCH DE ENCENDIDO GY200;ENDURO 200(2007);DY250SCORP(20-22)-MOXAL,REPUESTOS,MOXAL,5.35,8.5,2
880263,SN,SWITCH DE ENCENDIDO MT110 - VINI,REPUESTOS,VINI,5.85,8.2,2
2152KZ,SN,SWITCH DE ENCENDIDO PULSAR 135 - SPARK MINDA - VARROC,REPUESTOS,NA,17.25,24.15,1
14065,SN,SWITCH DE ENCENDIDO PULSAR 150/180/200/220;DISCOVER 100 - MOTOR 1,REPUESTOS,MOTOR 1,6.07,8.5,1
